sample_number,start_x,start_y,start_yaw,final_x,final_y,final_yaw
1,2.1581400342061752,0.44990155266031273,3.4844453193331333,-2.7374732557000314,1.6706403885204066,5.3836183864371687
2,3.3158876279830878,-0.56880002503455263,2.47954323916457,-2.009776726967305,3.4272728877918119,6.0321474593523865
3,-3.899140231217987,1.2487923791993936,1.786277876970471,2.3263741254210712,-4.0753404289444308,1.3721583876758139
4,1.4366646688725524,-1.5782750838631099,1.9645841866218563,-0.81270222391460401,4.5840756748617366,3.8667817040832153
5,4.5462263899414985,-3.9513816834200122,1.0542568619091255,4.0615723959680032,2.253634552079915,1.9973922521224703
6,2.8534546531711733,-3.1163895347948332,1.1139080787461859,-4.4479547677059568,-3.8055509979982527,5.6621465050141477
7,-4.4219934123536362,0.47578884416863421,4.4346883946703848,-3.2914164655060372,-0.36979719991745874,0.37481795332753159
8,-3.3319187491912414,-1.1422396763901013,3.8531336328481491,-2.8482345151927446,1.6734443872403943,1.3788775341737198
9,1.9480336479666747,-0.12732070421798269,0.52375437781368173,-4.3064486306195864,-2.2139275429207705,3.6487623279128178
10,1.7744760188793851,2.2942815105545087,2.3631062711536717,0.41247438199513198,-3.9927221496779386,1.3305657425402411
11,-2.0169079584381167,4.4703834906911712,6.1017233742087402,-3.6856519221138537,-0.65307644629363093,2.2356273594938094
12,-3.9087944763724778,0.49364335329726039,5.0242955010837411,-3.9555800356350179,-4.3425011645080049,5.3296475847157883
13,3.857690884129422,1.7702382546843705,0.96005845805972956,2.0151418566403825,0.70494761317073262,3.3559486945448955
14,4.172124221261706,2.4861440397636327,1.5521933653405833,-2.514381270686866,-1.9284381044558394,0.96506215743816826
15,-1.7178393056345618,1.1795013147026543,5.1402223022560101,-2.5175897860485765,4.0177288877962436,3.0127515715803854
16,-4.071420857898068,3.1097397425457451,4.2370401093698522,2.6764167938297714,-4.295573066880646,3.6760836781987893
17,-3.7511204280317845,-4.4843351834674658,2.9102116719983999,3.7552577065087966,1.6143124814968557,3.8673989845550292
18,-4.3080778239543296,1.5508708937211635,3.5765693576860746,3.3871834524574567,3.6934220359286076,4.7493601183539331
19,-2.027502968574848,3.1786640601705063,2.9822379541895847,1.0954237588803224,-4.1128562362700585,1.0876225802727906
20,4.5443744531396142,1.4771827675734661,3.8193674732771572,-3.8916513194815971,-1.2748392126004071,0.94673031797720009
21,1.6136893353126247,0.8755803220803493,5.8447205953589254,-4.081091228994608,1.5009579988667916,3.7074406422380943
22,-0.33578526392956221,4.0104884948241359,5.893897828589866,-2.7331357297848413,1.7052413234422739,3.3983786572839416
23,-1.449172700830216,3.7157597270120437,3.4149123501700505,2.5362431048430212,3.0913886214915713,6.1042683826352748
24,4.1157235871428757,4.1873373261721696,3.0804845618128733,-1.2947322292880248,-1.1329607246948949,0.47694585174301146
25,1.3923885857034701,-4.0870736664446392,5.1441002527376574,1.4439259714779826,2.7220633387773683,0.25714769144751509
26,2.8190834837944889,1.1674185395120054,2.2856142597735567,0.68440090894230465,4.2876605022684462,4.6678802871550333
27,-2.2115487191255379,2.2646709557390849,0.52725164069281216,1.6209458081338592,-3.6871092270654571,0.75367570508392712
28,3.0250824023154053,1.698693000804731,1.1114860769944668,4.5972325995501802,1.2447573847256699,6.2021234783569437
29,-4.2891741164888266,-4.2652536438463464,4.2184678817871974,1.6917418018081207,3.9176637460765527,3.1704195753607309
30,4.6092060222149165,4.5988031274349197,4.8758951159295281,-1.7424631229470844,2.1999093256077229,6.076688779258828
31,-4.1858634205030807,2.7271941785668794,2.1554252797079281,3.0781956445067511,-4.4553990370183039,4.1787679467588754
32,2.9051683539272286,3.5264118819890768,0.58830222639523022,-1.4231786512475395,-2.5597178609234716,4.7522420547460209
33,2.3445248449789533,4.1233498533575492,4.7134483182178357,4.2238577889716886,0.19369303315721709,1.8443661857064186
34,1.6262018984905442,-3.0266529435500198,3.9047868054269244,-3.7907070745396352,4.5708995022408487,1.5901794041524429
35,2.533455371076375,2.5308744270524191,4.3368575283926472,-2.5612146197967656,-3.8030717341771592,0.75194482577589883
36,-4.4281804864496195,0.12286966491576656,1.7502156299833733,-3.3904065265089511,-2.718271907503762,5.6006080266874854
37,3.4994264158657522,-3.0969120381509772,5.8599190134739265,-3.3138082862671725,-3.5180613131300484,6.2359005308539208
38,-1.3649257623755053,-1.3889426933168378,5.5723052761211243,-2.0522062644873684,-3.1277740254743627,5.6786163162191237
39,-4.0529436865533324,-1.7312144824900546,2.1833919374487389,-2.7029723589745283,-3.0710856171479062,3.3652707740539611
40,3.267305093333249,4.4747050747509114,2.1692067579031891,-2.4320728254424564,-1.0691322719772742,1.2397256038991868
41,-2.2015076367096906,-3.0114084256884088,4.5081595152960814,0.72683224432929627,4.0019577404479563,0.22387888361749916
42,2.6773979452062484,-3.8905158895488423,3.8121787938895726,1.6156727741149624,-4.3378195304822142,3.0658984215363012
43,-2.1875416330190856,3.6275422739953402,2.3450583833758816,3.5103213814435001,3.1514787551808059,2.2939055507476644
44,2.2834222783937372,-0.94167217330515385,2.7916784507924155,3.9043355947147909,2.2262959266522087,5.8714283817263357
45,-3.9546030130318064,-1.3973887243652117,4.2613297570318363,3.9871546451944049,1.0029815847093619,5.8262715155199665
46,-3.7652713500596038,0.97180863510501325,3.0304617496243957,2.1446788183859926,3.4909966648993596,5.9427045934499976
47,-0.61184309679698679,-4.52449111298868,5.2242074596070642,4.2954896763040704,1.184017784143129,3.4043954304610868
48,-1.9145102555433278,-1.4155036282791258,1.3629739485871455,-2.8357866023124934,-1.9353857153514999,6.1628230453637665
49,-3.1374343182262288,-3.8060834196622917,5.3729344159255756,2.6017902543038502,3.1791637668159876,4.6505793872476344
50,3.5677660833619189,-3.7513965859061482,5.27747876989201,-2.1771918732880859,2.993845634962681,1.4396570148289856
51,-2.1324931051085594,-1.8654101402814751,4.074476169393888,-2.3517924908327603,1.2791907293286284,1.7811646208678029
52,3.6006086436458453,2.1350785092165667,6.102147199948269,4.1764263659460354,0.089811293067346476,2.3661104447380752
53,1.7694954616197558,-0.013881439722799982,3.6106429209124316,-3.1304572179166201,-2.336166396388232,1.1897174327294089
54,4.548188348201446,4.4547310191260454,1.6891373912341807,-3.804144232168718,-2.0822415568332175,3.0458953243665148
55,0.84845394847359579,-4.3434648425231597,3.7189210600573834,3.879907549784722,3.4772443296137912,0.084273320505651006
56,-2.7607214158766946,2.6243200093280468,1.3640884137295866,-3.3235757939353472,0.33301958049406188,6.1054931633188891
57,-3.277443860400755,4.5569059276585921,6.1453751033626185,-2.6458585616768646,1.0784969702295877,0.92906433420248313
58,0.9260099033493896,-4.0976114895352396,0.63567422032443188,-2.9281303406624506,0.2775667270809512,5.5231666552556762
59,0.53750993302485117,-4.1748576625752873,5.4703069627635372,1.4549331968879828,4.4158455910160175,4.743636673001741
60,-3.1759257663147178,2.2497638904806703,2.3403690156623971,-0.13944695472923918,4.1658414433800068,5.3291366067515966
61,2.4701781229835449,-3.9033253783446131,0.5959550809056392,-4.2986013182555372,-3.0945007380833123,5.5566247679289722
62,4.0199155914997018,4.2052729276033993,3.1877595670908105,1.6936514745780507,0.23132266007495961,5.9291222589251369
63,3.1903111705784877,1.2952646179109433,4.1398122234946797,3.153155866861681,-4.5491392621762703,5.5858826446440624
64,-2.8583407132199543,1.7437114477042668,3.2245300460617448,-3.0510003335209768,3.7817393257833292,0.57063076117781564
65,-4.2068905084225339,4.0612974983310526,4.1228722027132569,2.2905133965250304,2.0397704156750915,5.7328640488151814
66,-1.8229621383822714,1.3813796481990037,5.2043260212809281,-3.8574284641905967,-3.9165917711799594,3.6321128360327086
67,4.4176428277334416,3.9707195035778273,3.6133316345805495,-2.7026960617698115,3.3400405068204062,1.2686206304169623
68,4.4010740460133295,2.1987660014042074,5.530430374981548,-2.964282525580586,-2.7275779972580185,0.99795195971511486
69,3.5365399842622924,2.1237575372135522,0.70849376764336502,-2.8617322712683055,2.7447687064262869,0.41297226189166986
